[INFO]: Starting the GameSceneManager
[INFO]: AssetManager Created
[INFO]: Succeed to Load Asset RendererAssets
[INFO]: AudioManager Created
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level3
[INFO]: Succeed to Load Scene Level3
[INFO]: Succeed to Load Scene Level4
[INFO]: Succeed to Load Scene Level4
[INFO]: Succeed to Load Scene Level4
[INFO]: Succeed to Load Scene Level4
[INFO]: Succeed to Load Scene Level4
[INFO]: Succeed to Load Scene Level4
[INFO]: Succeed to Load Scene Level4
[INFO]: Succeed to Load Scene Level4
[INFO]: Succeed to Load Scene Level4
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[FATAL ERROR]: Failed to start Network Manager as a Client in file: C:\Users\jreed\OneDrive\??????? ????\GitHub\Capstone\VulkanComponentFramework\ComponentFramework\SceneManager.cpp on line: 205
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Succeed to Load Scene Level1
[INFO]: Deleting the GameSceneManager
[INFO]: Deleting the GameSceneManager
